#{"t_start": 1676577212.4392464, "env_id": null}
r,l,t
-105,62,2.015407
-105,14,2.019709
-120,22,2.026303
-120,49,2.041683
-105,8,2.044304
-120,10,2.66077
-105,11,2.664536
-105,11,2.667906
-105,17,2.673022
-120,7,2.675249
-105,23,3.29411
-105,20,3.300209
-105,5,3.301808
-120,4,3.303075
-105,5,3.30463
-105,5,3.92347
-120,22,3.930256
-105,50,3.945164
-105,17,3.950264
-105,11,3.955847
-120,40,4.574929
-120,22,4.581594
-105,8,4.584073
-120,10,4.587125
-105,20,4.593166
-120,4,12.944523
-105,14,12.953503
-105,11,12.957299
-105,11,12.962202
-105,11,12.967655
-30,33,24.552639
-75,18,24.560967
-90,22,24.573442
-105,9,24.577543
-105,21,24.5871
585,260,36.733449
-60,14,36.74096
0,37,36.761692
225,98,36.814693
0,44,36.838358
75,40,51.206156
60,36,51.224017
225,86,51.264482
60,36,51.284947
165,70,51.317726
75,72,64.022775
15,24,64.031861
60,72,64.061424
90,60,64.084618
-15,59,64.106843
45,52,76.456042
15,39,76.480716
60,40,76.515792
30,48,76.558669
15,32,76.586585
60,43,90.491038
90,52,90.51036
0,27,90.522715
105,56,90.543288
0,24,90.552879
